1,1295242,精灵鼠小弟(1999),"{'回忆', '喜剧', '奇幻', '童年', '家庭', '智慧', '美国', '冒险', '动画', '儿童', '勇气', '经典'}"
2,2123620,机智的山羊(0),"{'回忆', '聪明', '动画', '童年', '大陆', '影片'}"
3,2252726,我知道(1956),"{'回忆', '好看', '动画', '教育', '童年', '大陆'}"
4,2157295,半夜鸡叫(0),"{'深刻', '回忆', '好看', '欢乐', '艺术', '动画', '童年', '大陆', '记忆'}"
5,1431949,小马虎(1980),"{'儿童', '回忆', '好看', '搞笑', '童年', '价值', '动画', '教育', '经典', '大陆', '文学'}"
6,1431718,神笔(0),"{'拥有', '阶级', '孩子', '老师', '电视', '劳动', '经典', '记忆', '性', '时代', '革命', '梦想', '想要', '兴趣', '动漫', '好看', '艺术', '回忆', '动画', '美好的', '童年', '故事', '美好'}"
7,1307729,大决战之平津战役(1992),"{'很好', '好看', '剧情', '历史', '希望', '战争', '很好看', '民族', '命运', '大陆', '解放'}"
8,10450409,赛德克·巴莱(上)：太阳旗(0),"{'剧情', '尊严', '希望', '战争', '孩子', '和平', '民族', '政治', '性', '音乐', '导演', '文明', '自恋', '真实', '信念', '大陆', '影片', '华语', '完整', '大屠杀', '诚意', '过程', '表现', '人性', '人心', '剧本', '勇敢', '骄傲', '历史', '欣赏', '节奏', '种族', '魏德圣', '故事'}"
9,3993559,赛德克·巴莱(2011),"{'性', '剧情', '历史', '战争', '阳光', '人性', '民族', '经典'}"
10,1463390,南征北战(1952),"{'老片', '剧情', '革命', '战争', '大陆', '解放'}"
11,3148702,罪恶部队(2009),"{'法国', '二战', '抵抗', '剧情', '革命', '运动', '战争', '历史', '故事'}"
12,20370556,黑暗真相(0),"{'正义', '深刻', '灵魂', '剧情', '政治', '惊悚', '真相', '革命', '资源', '动作', '导演', '美国', '心灵', '黑暗', '好看', '美国人', '主妇', '公司', '演员', '特工', '合作', '编剧', '利益', '故事', '自然'}"
13,1431714,小鲤鱼跳龙门(1958),"{'回忆', '童年', '动画', '励志', '儿童', '龙', '经典'}"
